=== Transmission / Reflection vs Energy (Displayed Range) ===
 Energy (eV)    Transmission      Reflection
      3.8739        0.999188        0.000812
      3.8784        0.998114        0.001886
      3.8829        0.999176        0.000824
      3.8874        0.998124        0.001876
      3.8919        0.999154        0.000846
      3.8964        0.998141        0.001859
      3.9009        0.999122        0.000878
      3.9054        0.998167        0.001833
      3.9099        0.999079        0.000921
      3.9144        0.998202        0.001798
      3.9189        0.999024        0.000976
      3.9234        0.998246        0.001754
      3.9279        0.998958        0.001042
      3.9324        0.998300        0.001700
      3.9369        0.998879        0.001121
      3.9414        0.998364        0.001636
      3.9459        0.998787        0.001213
      3.9505        0.998438        0.001562
      3.9550        0.998681        0.001319
      3.9595        0.998524        0.001476
      3.9640        0.998562        0.001438
      3.9685        0.998621        0.001379
      3.9730        0.998428        0.001572
      3.9775        0.998728        0.001272
      3.9820        0.998281        0.001719
      3.9865        0.998847        0.001153
      3.9910        0.998120        0.001880
      3.9955        0.998974        0.001026
      4.0000        0.997948        0.002052
      4.0045        0.999110        0.000890
      4.0090        0.997765        0.002235
      4.0135        0.999251        0.000749
      4.0180        0.997574        0.002426
      4.0225        0.999395        0.000605
      4.0270        0.997379        0.002621
      4.0315        0.999536        0.000464
      4.0360        0.997185        0.002815
      4.0405        0.999671        0.000329
      4.0450        0.996996        0.003004
      4.0495        0.999792        0.000208
      4.0541        0.996819        0.003181
      4.0586        0.999893        0.000107
      4.0631        0.996661        0.003339
      4.0676        0.999965        0.000035
      4.0721        0.996531        0.003469
      4.0766        0.999999        0.000001
      4.0811        0.996437        0.003563
      4.0856        0.999985        0.000015
      4.0901        0.996389        0.003611
      4.0946        0.999915        0.000085
      4.0991        0.996394        0.003606
      4.1036        0.999779        0.000221
      4.1081        0.996461        0.003539
      4.1126        0.999570        0.000430
      4.1171        0.996596        0.003404
      4.1216        0.999283        0.000717
      4.1261        0.996802        0.003198
      4.1306        0.998914        0.001086
      4.1351        0.997078        0.002922
      4.1396        0.998467        0.001533
      4.1441        0.997421        0.002579
      4.1486        0.997946        0.002054
      4.1532        0.997820        0.002180
      4.1577        0.997366        0.002634
      4.1622        0.998258        0.001742
      4.1667        0.996744        0.003256
      4.1712        0.998712        0.001288
      4.1757        0.996107        0.003893
      4.1802        0.999151        0.000849
      4.1847        0.995487        0.004513
      4.1892        0.999538        0.000462
      4.1937        0.994920        0.005080
      4.1982        0.999832        0.000168
      4.2027        0.994447        0.005553
      4.2072        0.999987        0.000013
      4.2117        0.994111        0.005889
      4.2162        0.999958        0.000042
      4.2207        0.993950        0.006050
      4.2252        0.999705        0.000295
      4.2297        0.993999        0.006001
      4.2342        0.999195        0.000805
      4.2387        0.994277        0.005723
      4.2432        0.998411        0.001589
      4.2477        0.994791        0.005209
      4.2523        0.997355        0.002645
      4.2568        0.995522        0.004478
      4.2613        0.996053        0.003947
      4.2658        0.996428        0.003572
      4.2703        0.994558        0.005442
      4.2748        0.997434        0.002566
      4.2793        0.992951        0.007049
      4.2838        0.998436        0.001564
      4.2883        0.991339        0.008661
      4.2928        0.999299        0.000701
      4.2973        0.989852        0.010148
      4.3018        0.999868        0.000132
      4.3063        0.988631        0.011369
      4.3108        0.999972        0.000028
      4.3153        0.987816        0.012184
      4.3198        0.999443        0.000557
      4.3243        0.987536        0.012464
      4.3288        0.998133        0.001867
      4.3333        0.987883        0.012117
      4.3378        0.995934        0.004066
      4.3423        0.988899        0.011101
      4.3468        0.992798        0.007202
      4.3514        0.990550        0.009450
      4.3559        0.988749        0.011251
