Date,Simulated (Max Sharpe Ratio),Equal-Weight,Markowitz,Black-Litterman,Risk-Parity
2023-03-20,1143701.299942416,1184135.2804568848,945422.0276455312,1202588.4138776823,1159841.451960034
2023-03-21,1158580.418200923,1195734.5932128527,957020.693918286,1216020.0249039733,1168450.1976221025
2023-03-22,1139621.8514379268,1176053.3568240914,941871.3896290924,1200116.8635635397,1150694.422270856
2023-03-23,1139690.5010717483,1181497.7858823037,938672.3855551652,1204216.2957044733,1153710.2119516765
2023-03-24,1143370.0741774938,1184632.190701442,945928.1816716457,1208511.653707547,1160190.6984463618
2023-03-27,1151657.7303407346,1191684.1036243255,956898.331805931,1215506.5695009036,1168021.9240134433
2023-03-28,1153903.538151335,1193295.0807836007,957898.59425698,1220890.8193958134,1171160.728222674
2023-03-29,1172078.9594250885,1215414.3851519902,963458.4421600536,1238932.4746710851,1187823.092957877
2023-03-30,1177920.5953466664,1222965.2683387676,967456.8995248051,1239214.0448266743,1193925.972604611
2023-03-31,1189432.4818118499,1237097.142990543,971059.7629359333,1244863.7032036555,1207185.4641616843
2023-04-03,1205747.319406274,1243336.3362716418,1004256.7228837761,1259841.9929643162,1216579.1335397637
2023-04-04,1195645.3371062614,1231272.4666638437,1000491.6806633895,1238017.254277917,1208357.7881280293
2023-04-05,1197841.7785974762,1228388.4239487145,1017032.5357914519,1229614.7714314028,1210918.0763515069
2023-04-06,1192009.6871855308,1225419.2105300482,1012195.8006669898,1228215.6225985328,1209083.6169644396
2023-04-10,1196582.5489888666,1233922.107312769,1014110.0718595234,1245202.1409954561,1213687.505681276
2023-04-11,1196754.8209770573,1236289.4722337937,1011313.643100606,1246587.5221608523,1215275.4226215463
2023-04-12,1193706.5646331452,1230822.4768707103,1014036.3586889581,1251631.03669472,1212285.914795722
2023-04-13,1202453.573547099,1240330.6698034434,1024329.2815896414,1257037.104936646,1222482.3737999268
2023-04-14,1199494.754772489,1237561.2710428867,1021856.7213247074,1257167.443848465,1219395.131258313
2023-04-17,1202265.7984158313,1243228.6429070323,1018838.9250565328,1266246.4129316125,1223739.8898932515
2023-04-18,1210223.057308888,1245330.2447711406,1031003.5881871642,1274065.0732983553,1225612.6635286326
2023-04-19,1204291.8692553418,1239573.2042908021,1025241.2702565354,1264528.4709266548,1221200.315357944
2023-04-20,1192069.6270404465,1233056.9639339643,1020991.8601763513,1260387.8939468616,1214371.662016757
2023-04-21,1190346.8483696003,1233070.5755696136,1023290.4807416971,1255994.4239516172,1216160.3869503702
2023-04-24,1192335.2368377724,1233199.4138619963,1030485.0793460957,1253827.196512922,1217136.888250752
2023-04-25,1174681.992316021,1213029.2881512234,1022725.037105844,1237958.6474304667,1202709.8310435629
2023-04-26,1162703.4014510133,1201914.7780973152,1001206.1351833221,1220522.420825795,1188711.0467749073
2023-04-27,1179669.568839686,1223963.6400881012,1011298.341708245,1243703.8499136807,1209378.2204704997
