,Model,Ticker,Mean,Std,Minimum,Maximum,Range,Coefficient of Variation
198,Risk-Parity,WDC,0.011489360969943732,0.0005057137046464129,0.010402466047174479,0.012765406229179885,0.0023629401820054064,0.044015825246448814
199,Risk-Parity,XOM,0.013216858772494561,0.001353635942211822,0.01246791815798261,0.01750003932728264,0.005032121169300031,0.10241737204825527
200,Simulated (Max Sharpe Ratio),ABT,0.027149894997623394,0.0230712940872012,0.006075180173480972,0.06044003784693372,0.05436485767345275,0.8497747077556204
201,Simulated (Max Sharpe Ratio),ADBE,0.013660149236343634,0.007693894226826982,0.0041787793859843275,0.02848511410519766,0.02430633471921333,0.5632364693613245
202,Simulated (Max Sharpe Ratio),ADI,0.007784322760028643,0.009077351839976943,0.0009397697877603872,0.02260207449206237,0.02166230470430198,1.1661068174854998
203,Simulated (Max Sharpe Ratio),ADP,0.01575905988017094,0.011158044847116645,0.0017606226443828408,0.025463029544105256,0.023702406899722413,0.7080400056831063
204,Simulated (Max Sharpe Ratio),AMAT,0.09183056002016542,0.06366529742439812,0.03130184936147195,0.18549765443470378,0.15419580507323183,0.6932909633831877
205,Simulated (Max Sharpe Ratio),AME,0.016686058969884243,0.014679665312966335,5.3620465659333526e-05,0.031152836704235132,0.031099216238575797,0.8797562887354564
206,Simulated (Max Sharpe Ratio),AXP,0.017663849481891418,0.008925212097270865,0.0023196336580829915,0.031219311664476307,0.028899678006393315,0.5052812585626248
207,Simulated (Max Sharpe Ratio),BA,0.006740350021606698,0.005778298147883206,0.0008597400722378921,0.01572086044345872,0.014861120371220829,0.8572697455414685
208,Simulated (Max Sharpe Ratio),CL,0.006911609627370387,0.005813871488552602,0.0013910721234982716,0.015829756258529833,0.014438684135031563,0.8411747482857428
209,Simulated (Max Sharpe Ratio),COF,0.017978392125362175,0.010140150458045305,0.001524162437586468,0.032816290510533114,0.031292128072946644,0.5640187613741366
210,Simulated (Max Sharpe Ratio),CSCO,0.010143097675509085,0.008009170035483546,0.0007097161949375331,0.020559652309100358,0.019849936114162824,0.7896177569917332
211,Simulated (Max Sharpe Ratio),CVX,0.0060290753554351414,0.003367954247435377,0.0017616698086501726,0.010452101811707288,0.008690432003057115,0.558618701688511
212,Simulated (Max Sharpe Ratio),DD,0.01910153627646659,0.022547830540996745,0.0035731835038384247,0.0563774884253772,0.05280430492153878,1.1804197429280097
213,Simulated (Max Sharpe Ratio),DELL,0.0734143527922596,0.041227548171238845,0.0007682858442878438,0.12043812079169251,0.11966983494740467,0.5615734063324148
214,Simulated (Max Sharpe Ratio),FDX,0.019075790412822695,0.013672561853022656,0.0025298995667370483,0.035810252904393325,0.03328035333765628,0.7167494272652523
215,Simulated (Max Sharpe Ratio),GE,0.02537396668551206,0.026259307539902972,0.0034257437555110302,0.06743338651018621,0.06400764275467519,1.034891700827227
216,Simulated (Max Sharpe Ratio),GILD,0.014838922109353067,0.013232567315138886,0.004044080473256699,0.04614756736267494,0.04210348688941824,0.8917472049265839
217,Simulated (Max Sharpe Ratio),GM,0.0450104290242479,0.029435048918720078,0.0028968659946651603,0.08106293645418537,0.07816607045952022,0.6539606388302344
218,Simulated (Max Sharpe Ratio),GS,0.020175114343212872,0.013097992141767701,0.004463691799812761,0.04850603900995952,0.04404234721014676,0.6492152618789994
