,Model,Ticker,Mean Weight,Average Active Weight,Annualized Asset Return,Annualized Contribution,Total Arithmetic Contribution,Contribution Share of Arithmetic Gross Return,Positive Contribution Days,Negative Contribution Days,Contribution Volatility
107,Markowitz,BA,0.0,0.0,0.07108335578606524,0.0,0.0,0.0,0,0,0.0
108,Markowitz,CL,0.00023174589423930828,0.00023174589423930828,0.052686715243476345,-2.8388848097327548e-05,-0.0001599689059452584,-0.00013831312296811433,120,130,0.0001227755049167557
109,Markowitz,COF,0.0,0.0,0.2178132054219024,0.0,0.0,0.0,0,0,0.0
110,Markowitz,CSCO,0.01830732776599832,0.01830732776599832,0.22233828767371724,-0.004665170367652182,-0.026287864770103565,-0.022729146336480696,114,136,0.01274833570568542
111,Markowitz,CVX,0.004031806605659633,0.004031806605659633,0.23263608171315198,-0.00041504516951479777,-0.002338746590123067,-0.0020221388825503684,125,125,0.0022233238969699867
112,Markowitz,DD,0.0,0.0,0.13927896765313355,0.0,0.0,0.0,0,0,0.0
113,Markowitz,DELL,0.050463556826677275,0.050463556826677275,0.5879717655475661,0.023427325349509427,0.13201111903294996,0.11414012011941244,261,241,0.06809908085125595
114,Markowitz,FDX,0.040321375307210014,0.040321375307210014,0.1549556930763913,0.0021470545266502627,0.01209848185652132,0.010460650454915071,128,124,0.025638576266584067
115,Markowitz,GE,0.0900467374842851,0.0900467374842851,0.38466942105356566,0.04950303570983454,0.2789456774125597,0.2411834196990138,293,206,0.05167190629215844
116,Markowitz,GILD,0.04096786711781719,0.04096786711781719,0.22329031147715028,0.006393703735816932,0.036028013114523985,0.03115072256549177,336,327,0.015664247686294104
117,Markowitz,GM,0.011691218014710804,0.011691218014710804,0.208995769391716,0.005717754709725864,0.03221909399924892,0.027857435692935917,218,195,0.00917695841338201
118,Markowitz,GS,0.0,0.0,0.30299292213926804,0.0,0.0,0.0,0,0,0.0
119,Markowitz,HAS,0.0,0.0,0.0948928888502429,0.0,0.0,0.0,0,0,0.0
120,Markowitz,IBM,0.0041027949333435655,0.0041027949333435655,0.20545621671766792,0.0012841213801867376,0.007235922062957013,0.0062563594604063116,139,111,0.002912808572371855
121,Markowitz,INTC,0.012348567794310835,0.012348567794310835,0.25917913036650897,-0.010660834069135022,-0.06007295388163385,-0.05194058062841033,125,126,0.015040511644144817
122,Markowitz,JBL,0.020637930401938134,0.020637930401938134,0.4272494984044325,0.003047239497884096,0.01717095272617229,0.014846435823643523,126,126,0.018946920521990922
123,Markowitz,JNJ,0.028543921825770625,0.028543921825770625,0.1369238378565616,0.011158809930839002,0.062879008340442,0.05436676559931443,88,77,0.016643335665147023
124,Markowitz,JPM,0.0,0.0,0.2391850869269287,0.0,0.0,0.0,0,0,0.0
125,Markowitz,KLAC,0.0,0.0,0.45539385410487315,0.0,0.0,0.0,0,0,0.0
126,Markowitz,KMB,0.0028632819570324573,0.0028632819570324573,0.020411268349495856,4.640139438763981e-06,2.6146817472400214e-05,2.2607193309945402e-05,127,124,0.0014918003521322272
127,Markowitz,LMT,0.044682157398684454,0.044682157398684454,0.14011433378481936,-0.0002546507189316925,-0.001434936590805569,-0.0012406821185828097,123,127,0.018845259945323857
128,Markowitz,LOW,0.039262925950333157,0.039262925950333157,0.09683115317230437,-0.008339556720472999,-0.046992740250284354,-0.04063110029064303,132,119,0.030760185916532855
129,Markowitz,MA,0.0,0.0,0.12683823787898235,0.0,0.0,0.0,0,0,0.0
130,Markowitz,MKC,0.0,0.0,-0.046786929175181825,0.0,0.0,0.0,0,0,0.0
131,Markowitz,MMM,0.009798349512335372,0.009798349512335372,0.10460356629902513,0.0026327154080248937,0.014835142378552973,0.012826835689908656,138,112,0.006843629916946512
132,Markowitz,MRK,0.05260774570626168,0.05260774570626168,0.17499249023481908,0.002762185870863121,0.015564698161212826,0.013457627893448896,132,116,0.024020836242734482
133,Markowitz,MS,0.0,0.0,0.27419798112601446,0.0,0.0,0.0,0,0,0.0
134,Markowitz,MU,0.0027108473225723123,0.0027108473225723123,0.6097030032572496,0.004629230362760535,0.02608534569492047,0.02255404327139645,88,77,0.007884705206578264
135,Markowitz,NEM,0.06575799559861276,0.06575799559861276,0.22276446057833088,0.012436203787811226,0.07007702134401564,0.06059034793743492,212,205,0.046262437361767154
136,Markowitz,OLN,0.035727018043305664,0.035727018043305664,0.06795161065829264,-0.000569835053285238,-0.003210975300258087,-0.002776289672845254,123,127,0.037482263253554776
137,Markowitz,PG,0.007574641621567962,0.007574641621567962,0.051079331206517094,-0.0009198798396050558,-0.005183449889838013,-0.0044817406093754335,128,121,0.003570086971352187
138,Markowitz,PH,0.0,0.0,0.28471362433957287,0.0,0.0,0.0,0,0,0.0
139,Markowitz,PPG,0.0,0.0,0.017964673846852946,0.0,0.0,0.0,0,0,0.0
140,Markowitz,QCOM,0.04307800895152948,0.04307800895152948,0.12992604983380615,0.012682615789742818,0.07146553341839207,0.06179089025627567,129,123,0.03635512302563874
141,Markowitz,RTX,0.036142005250565566,0.036142005250565566,0.24860670863687082,0.01754622876717597,0.09887160654519793,0.08548686754675103,229,184,0.021209340658623708
142,Markowitz,SPGI,0.010633127105282745,0.010633127105282745,0.0968458861309993,-0.0031885348244077476,-0.01796714067721826,-0.01553483986896741,115,136,0.007561630854194765
143,Markowitz,T,0.03744971817945058,0.03744971817945058,0.12173191853010604,0.005155663259874301,0.02905175328976789,0.025118873580232105,219,191,0.01813255419753222
144,Markowitz,TMUS,0.09804658633490738,0.09804658633490738,0.09526369921452024,-0.0032376385126169304,-0.018243836063158894,-0.015774077630294685,384,370,0.036563166617385505
