,Rebalance Date,Next Rebalance,Model,Holding Days,Gross Return,Net Return,Annualized Gross Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,"Value-at-Risk (VaR, 95%)","Conditional Value-at-Risk (CVaR, 95%)",Allocation Turnover,Transaction Cost Rate
54,2015-01-02,2016-01-04,Markowitz,252,-0.026372823249682598,-0.028010753335422023,-0.026372823249682598,0.16897778817575837,-0.4519695995206492,-0.7149876397830958,-0.17763281748106263,-0.14846819199101086,-0.01657846427300011,-0.02288807751176431,1.6822970073682297,0.0016822970073682299
55,2015-01-02,2016-01-04,Risk-Parity,252,-0.0018929124190970592,-0.002037810301962928,-0.0018929124190970592,0.11592865570984445,-0.44762800104383865,-0.6656424202279658,-0.11655607641924504,-0.016240358094144914,-0.012462088573857133,-0.01642131322128566,0.14517268203860645,0.00014517268203860644
56,2016-01-04,2017-01-03,Simulated (Max Sharpe Ratio),252,0.26378706485810755,0.2623304671799531,0.26378706485810755,0.1573058131901923,1.3590538106791132,1.8696725309226012,-0.11367319500393425,2.3205740354969158,-0.014173256181503219,-0.02256940146669674,1.1525657435954404,0.0011525657435954404
57,2016-01-04,2017-01-03,Equal-Weight,252,0.21561545420840167,0.21561545420840167,0.21561545420840167,0.14615082872222673,1.133181766099796,1.49364884282459,-0.09957451554261043,2.165367845712836,-0.014874349120437887,-0.021299753909818604,0.0,0.0
58,2016-01-04,2017-01-03,Markowitz,252,0.20939387603260706,0.2069750882805419,0.20939387603260706,0.17395034126484674,0.9163182714883161,1.2713970235219318,-0.11330054203170947,1.8481277518866936,-0.015646723371522474,-0.024347649015788436,2.0,0.002
59,2016-01-04,2017-01-03,Risk-Parity,252,0.23384199587391796,0.2336518970645327,0.23384199587391796,0.1141572928191292,1.6104270812132626,2.2498396750965166,-0.06472852806513285,3.6126573995103874,-0.010118695152664251,-0.015760985650876608,0.154070626563983,0.00015407062656398298
60,2017-01-03,2018-01-02,Simulated (Max Sharpe Ratio),251,0.26177618485546716,0.26020630790167587,0.2629456057233954,0.08360079956598881,2.5471718790836513,3.593381407235798,-0.025147582345103392,10.456098805641046,-0.007923626705916809,-0.011390391923992216,1.2441802061519895,0.0012441802061519895
61,2017-01-03,2018-01-02,Equal-Weight,251,0.27146592090330324,0.27146592090330324,0.27268311115576127,0.08097491297276185,2.7500259398940865,3.7790690627653145,-0.026330973130427537,10.355983039633815,-0.0065451723169612395,-0.011351381889713692,0.0,0.0
62,2017-01-03,2018-01-02,Markowitz,251,0.32403094586165615,0.32151020278568687,0.32551237203845407,0.11986005216474764,2.298617154444104,3.016537000036191,-0.07168210702038624,4.541054742515856,-0.010696436165165114,-0.017927733080997252,1.90384,0.00190384
63,2017-01-03,2018-01-02,Risk-Parity,251,0.25295084693996084,0.25234269456489744,0.25407701899777413,0.0740798086871073,2.7548264853077473,3.9031623726687315,-0.02277133060024783,11.157759002234542,-0.005956421828766799,-0.010302079315815596,0.48537608362571455,0.00048537608362571457
64,2018-01-02,2019-01-02,Simulated (Max Sharpe Ratio),251,-0.01771203387636633,-0.018782287593384295,-0.01778196860354453,0.19564407912087192,-0.34645550689866667,-0.46071751511476083,-0.2018935770852719,-0.08807595001417072,-0.02258882499648037,-0.029697361904568488,1.0895518971300082,0.0010895518971300083
65,2018-01-02,2019-01-02,Equal-Weight,251,-0.07481487266704923,-0.07481487266704923,-0.07510145660988377,0.17990019694301307,-0.6953936612393599,-0.8854171881223705,-0.200342111232791,-0.3748660536107575,-0.021227697146232252,-0.02909160242912108,0.0,0.0
66,2018-01-02,2019-01-02,Markowitz,251,0.09405873488207561,0.09191273993728011,0.09445063670380449,0.21952450419951983,0.20248599064551134,0.2810736589976479,-0.1908797469300504,0.49481748704547884,-0.023918828217380318,-0.032354716172474235,1.961498844965349,0.001961498844965349
67,2018-01-02,2019-01-02,Risk-Parity,251,-0.05944505177684567,-0.0596747468886385,-0.059674673564260594,0.16518016631862256,-0.6639699911229341,-0.8338670235925097,-0.1785394429853555,-0.3342380404376827,-0.018940712333268626,-0.026671050347747506,0.24421232616633895,0.00024421232616633895
68,2019-01-02,2020-01-02,Simulated (Max Sharpe Ratio),252,0.3510005658825126,0.34962001612184856,0.3510005658825126,0.1366562969322906,2.20261029048409,2.80432516510649,-0.06791964639430892,5.167879759632014,-0.012967368083730575,-0.02107831242583191,1.0218720817205527,0.0010218720817205527
69,2019-01-02,2020-01-02,Equal-Weight,252,0.35275912250826824,0.35275912250826824,0.35275912250826824,0.14769397146781127,2.049908466130266,2.712507847071939,-0.08961108002759133,3.936556979333955,-0.014942445878595504,-0.022428096594922505,0.0,0.0
