,Model,Ticker,Mean,Std,Minimum,Maximum,Range,Coefficient of Variation
203,Simulated (Max Sharpe Ratio),ADP,0.01931600995433638,0.014472087233681506,0.00014488284482319335,0.04661566818302753,0.04647078533820433,0.749227571734222
204,Simulated (Max Sharpe Ratio),AMAT,0.01890703709334987,0.015080784542618174,0.0009678556573605844,0.05710308038243529,0.056135224725074706,0.7976281248172145
205,Simulated (Max Sharpe Ratio),AME,0.02508725751486726,0.028462990287533994,4.892157930338451e-05,0.09484626346364614,0.09479734188434275,1.134559657254931
206,Simulated (Max Sharpe Ratio),AXP,0.012228360222624522,0.011493114803677684,0.0015356909374705542,0.04156241762066051,0.04002672668318996,0.9398737520353293
207,Simulated (Max Sharpe Ratio),BA,0.025606979907899615,0.03898346971889014,9.319234702316178e-05,0.17728931235310297,0.17719612000607982,1.5223767058474533
208,Simulated (Max Sharpe Ratio),CL,0.021556070572387228,0.03165954736704629,3.926500973484388e-05,0.14596635917277145,0.14592709416303662,1.468706797035697
209,Simulated (Max Sharpe Ratio),COF,0.019880157464240374,0.024060158505884277,0.0003352682947991855,0.11344782140660317,0.11311255311180399,1.2102599563993757
210,Simulated (Max Sharpe Ratio),CSCO,0.015026244661358107,0.01731937656957477,0.0005198400693877072,0.07187699473740627,0.07135715466801856,1.1526084500749374
211,Simulated (Max Sharpe Ratio),CVX,0.0181621771420309,0.013431258136993637,0.0002533630171214613,0.049256388410496274,0.04900302539337481,0.739518067242667
212,Simulated (Max Sharpe Ratio),DD,0.011784342947057814,0.010542559364833361,4.036330511197641e-05,0.038409868955496015,0.038369505650384036,0.894624283440895
213,Simulated (Max Sharpe Ratio),DELL,0.02703227851458194,0.024682500414921822,0.0017075691976022695,0.08514806220854199,0.08344049301093971,0.9130751002586562
214,Simulated (Max Sharpe Ratio),FDX,0.020285377343129855,0.015320766979743026,5.6712184540718225e-05,0.06461366812789499,0.06455695594335427,0.7552616212452061
215,Simulated (Max Sharpe Ratio),GE,0.018861098179922705,0.02662135127432049,0.00012252513555057663,0.10871461021996252,0.10859208508441194,1.4114422723624034
216,Simulated (Max Sharpe Ratio),GILD,0.02218603224779812,0.0300916517691982,0.0002024399723751431,0.12203903539647122,0.12183659542409608,1.3563331844604471
217,Simulated (Max Sharpe Ratio),GM,0.012684574584155357,0.01281385358670929,0.0003059643128629141,0.04026545355701077,0.039959489244147856,1.0101918280109623
218,Simulated (Max Sharpe Ratio),GS,0.00796629228539477,0.008562430356583474,0.0005712399803587346,0.03721784945674222,0.036646609476383485,1.0748325632341724
219,Simulated (Max Sharpe Ratio),HAS,0.02023184977518352,0.018005786703304612,0.0008560980935250428,0.07136538754670389,0.07050928945317884,0.8899723408084312
220,Simulated (Max Sharpe Ratio),IBM,0.018977153764812828,0.013285734984396754,0.0007995265614786569,0.053567014577429586,0.05276748801595093,0.7000910225552884
221,Simulated (Max Sharpe Ratio),INTC,0.014111854786828821,0.018785761001270107,0.00027601509536586837,0.09193020842245442,0.09165419332708855,1.33120424529904
222,Simulated (Max Sharpe Ratio),JBL,0.016813637984756158,0.015914903622403196,0.0012819466155947893,0.07758394689960724,0.07630200028401245,0.9465472990932845
223,Simulated (Max Sharpe Ratio),JNJ,0.014026436445989087,0.013990584066250271,0.0006441459297538314,0.06902899267825907,0.06838484674850524,0.9974439423814544
224,Simulated (Max Sharpe Ratio),JPM,0.018336811402576345,0.02292592144035098,6.667606875852133e-05,0.08659010019647623,0.08652342412771771,1.2502676139827593
225,Simulated (Max Sharpe Ratio),KLAC,0.0177192683599869,0.02312579072368565,0.00024172295144351118,0.08445425078337718,0.08421252783193367,1.305121083662099
226,Simulated (Max Sharpe Ratio),KMB,0.014722201080961242,0.01566324827166724,8.271997341620163e-05,0.06655444303641772,0.06647172306300152,1.063920278328691
227,Simulated (Max Sharpe Ratio),LMT,0.025056509894656864,0.02452486377369141,0.00034667250577888884,0.10821623286889276,0.10786956036311388,0.978782115977021
228,Simulated (Max Sharpe Ratio),LOW,0.039188922279376176,0.05368909010102621,0.00010768780784770639,0.18582188026320837,0.18571419245536067,1.3700068023886687
229,Simulated (Max Sharpe Ratio),MA,0.04260416627880227,0.05356226458007167,0.0016289192676422384,0.18198140749043637,0.18035248822279412,1.2572071996329994
230,Simulated (Max Sharpe Ratio),MKC,0.025807032076922923,0.025978269668817066,0.0009326396603638017,0.09045047304773308,0.08951783338736928,1.0066353074380554
231,Simulated (Max Sharpe Ratio),MMM,0.013104577626629395,0.009595453893451143,0.0012362952970795447,0.032281006524624296,0.031044711227544753,0.7322215310436657
232,Simulated (Max Sharpe Ratio),MRK,0.017666164190990995,0.015477066684278182,0.0007376349739078596,0.060755692833782425,0.06001805785987457,0.8760852959903338
233,Simulated (Max Sharpe Ratio),MS,0.01567662588161381,0.015433364365450774,0.0001969739935413612,0.048967829569760084,0.04877085557621872,0.984482533550262
234,Simulated (Max Sharpe Ratio),MU,0.023649279510981433,0.03910379627802825,4.275324342528669e-05,0.18298763884495736,0.18294488560153208,1.6534878476898454
235,Simulated (Max Sharpe Ratio),NEM,0.034762566403428785,0.04976365497528826,0.0004080290902865335,0.2136014198185008,0.21319339072821428,1.4315299508605857
236,Simulated (Max Sharpe Ratio),OLN,0.020831300519988254,0.022399627123131153,0.0013987964726489637,0.07471685066704992,0.07331805419440095,1.0752870230851905
237,Simulated (Max Sharpe Ratio),PG,0.021837421274386773,0.023557112315919723,0.0010584621564588134,0.09416124763957569,0.09310278548311687,1.0787497305622795
238,Simulated (Max Sharpe Ratio),PH,0.019813760852862322,0.01994375294609404,0.0007561548257315435,0.07907661688144292,0.07832046205571137,1.0065606975978485
239,Simulated (Max Sharpe Ratio),PPG,0.020118692021806134,0.020164855943971167,0.0008185528888433488,0.07407457669692805,0.0732560238080847,1.0022945786990027
240,Simulated (Max Sharpe Ratio),QCOM,0.018591868019204538,0.03838481332071949,0.0013970859086060996,0.19784381606890103,0.19644673016029493,2.0646022917691624
241,Simulated (Max Sharpe Ratio),RTX,0.019081801028862446,0.02665426693509373,0.0008100604993055286,0.13009856274694898,0.12928850224764346,1.396842305125048
242,Simulated (Max Sharpe Ratio),SPGI,0.014504455862396522,0.015875376558153315,0.001224145429019615,0.06411147395834445,0.06288732852932483,1.0945172096604443
243,Simulated (Max Sharpe Ratio),T,0.017617232828170723,0.02138665147697381,0.0003793226132734399,0.10188820297039547,0.10150888035712204,1.2139620158039588
244,Simulated (Max Sharpe Ratio),TMUS,0.025976699973612117,0.029254663664010857,0.0003566941805621822,0.13126367780674178,0.13090698362617958,1.1261886110910388
